0,7.395,-6.056,3.354
1,7.435,-5.049,3.356
2,7.537,-2.836,3.379
3,7.637,-0.778,3.4
4,7.728,1.27,3.383
5,7.818,3.197,3.363
6,7.886,4.708,3.359
7,6.368,5.342,3.27
9,6.419,4.288,1.901
10,5.812,4.479,1.945
11,7.528,-1.042,1.565
12,6.66,5.232,2.689
13,5.517,4.56,1.956
14,6.393,4.288,1.894
15,5.921,4.437,1.928
16,7.503,-1.058,1.912
17,7.349,-4.498,2.344
18,7.365,-4.167,2.351

